spend_date,channel,campaign_name,spend_eur,impressions,clicks
2025-01-01,paid_search,Paid Search 2025-01,240.48,46377,906
2025-01-01,paid_social,Paid Social 2025-01,195.37,52021,596
2025-01-01,email,Email 2025-01,38.4,9529,240
2025-01-01,affiliate,Affiliate 2025-01,103.35,20040,505
2025-01-02,paid_search,Paid Search 2025-01,236.25,35493,1388
2025-01-02,paid_social,Paid Social 2025-01,240.2,47429,1568
2025-01-02,email,Email 2025-01,22.09,3746,102
2025-01-02,affiliate,Affiliate 2025-01,37.07,7696,338
2025-01-03,paid_search,Paid Search 2025-01,164.05,20373,898
2025-01-03,paid_social,Paid Social 2025-01,163.64,27898,703
2025-01-03,email,Email 2025-01,43.64,9812,213
2025-01-03,affiliate,Affiliate 2025-01,71.38,9046,371
2025-01-04,paid_search,Paid Search 2025-01,181.17,38777,1620
2025-01-04,paid_social,Paid Social 2025-01,167.92,21768,807
2025-01-04,email,Email 2025-01,18.11,1677,24
2025-01-04,affiliate,Affiliate 2025-01,70.06,14562,516
2025-01-05,paid_search,Paid Search 2025-01,168.58,23656,771
2025-01-05,paid_social,Paid Social 2025-01,87.49,20530,791
2025-01-05,email,Email 2025-01,27.15,6969,153
2025-01-05,affiliate,Affiliate 2025-01,76.66,17235,365
2025-01-06,paid_search,Paid Search 2025-01,221.79,33358,809
2025-01-06,paid_social,Paid Social 2025-01,170.24,26310,1069
2025-01-06,email,Email 2025-01,47.58,11550,484
2025-01-06,affiliate,Affiliate 2025-01,102.76,9789,393
2025-01-07,paid_search,Paid Search 2025-01,189.42,43753,1661
2025-01-07,paid_social,Paid Social 2025-01,159.02,20212,241
2025-01-07,email,Email 2025-01,37.29,3598,110
2025-01-07,affiliate,Affiliate 2025-01,82.08,14426,199
2025-01-08,paid_search,Paid Search 2025-01,257.05,32068,327
2025-01-08,paid_social,Paid Social 2025-01,110.85,16886,279
2025-01-08,email,Email 2025-01,35.63,8850,301
2025-01-08,affiliate,Affiliate 2025-01,83.08,22778,456
2025-01-09,paid_search,Paid Search 2025-01,219.74,41144,1786
2025-01-09,paid_social,Paid Social 2025-01,197.1,38333,336
2025-01-09,email,Email 2025-01,36.74,9014,265
2025-01-09,affiliate,Affiliate 2025-01,65.63,7112,258
2025-01-10,paid_search,Paid Search 2025-01,149.33,17485,353
2025-01-10,paid_social,Paid Social 2025-01,194.85,35747,349
2025-01-10,email,Email 2025-01,47.98,4735,178
2025-01-10,affiliate,Affiliate 2025-01,67.6,11133,310
2025-01-11,paid_search,Paid Search 2025-01,329.14,51345,1564
2025-01-11,paid_social,Paid Social 2025-01,176.51,43186,1294
2025-01-11,email,Email 2025-01,39.45,9289,285
2025-01-11,affiliate,Affiliate 2025-01,56.76,8705,319
2025-01-12,paid_search,Paid Search 2025-01,178.16,28463,1089
2025-01-12,paid_social,Paid Social 2025-01,83.45,20775,203
2025-01-12,email,Email 2025-01,40.01,7421,292
2025-01-12,affiliate,Affiliate 2025-01,76.66,18376,278
2025-01-13,paid_search,Paid Search 2025-01,243.99,38288,693
2025-01-13,paid_social,Paid Social 2025-01,147.09,30691,1147
2025-01-13,email,Email 2025-01,21.89,4809,81
2025-01-13,affiliate,Affiliate 2025-01,83.98,10826,254
2025-01-14,paid_search,Paid Search 2025-01,197.71,31288,727
2025-01-14,paid_social,Paid Social 2025-01,77.58,10113,372
2025-01-14,email,Email 2025-01,25.02,4369,100
2025-01-14,affiliate,Affiliate 2025-01,85.44,22288,319
2025-01-15,paid_search,Paid Search 2025-01,195.61,49252,1236
2025-01-15,paid_social,Paid Social 2025-01,148.4,30439,792
2025-01-15,email,Email 2025-01,39.86,4634,117
2025-01-15,affiliate,Affiliate 2025-01,98.8,19258,367
2025-01-16,paid_search,Paid Search 2025-01,182.78,23233,234
2025-01-16,paid_social,Paid Social 2025-01,182.54,21250,369
2025-01-16,email,Email 2025-01,48.8,7605,157
2025-01-16,affiliate,Affiliate 2025-01,89.34,24931,596
2025-01-17,paid_search,Paid Search 2025-01,244.61,26022,1033
2025-01-17,paid_social,Paid Social 2025-01,194.58,51413,1720
2025-01-17,email,Email 2025-01,25.97,6403,100
2025-01-17,affiliate,Affiliate 2025-01,80.52,8694,213
2025-01-18,paid_search,Paid Search 2025-01,259.48,63841,2240
2025-01-18,paid_social,Paid Social 2025-01,180.0,34316,1345
2025-01-18,email,Email 2025-01,34.17,6232,154
2025-01-18,affiliate,Affiliate 2025-01,54.59,9553,317
2025-01-19,paid_search,Paid Search 2025-01,176.09,17536,246
2025-01-19,paid_social,Paid Social 2025-01,149.49,41067,443
