order_id,customer_id,order_created_at,order_status,shipping_country,shipping_city,sales_channel,discount_code,shipping_fee
ORD0000001,CUST00077,2025-12-14 12:11:47,completed,AT,Vienna,web,,5.99
ORD0000002,CUST00159,2025-09-03 08:09:59,completed,DE,Frankfurt,mobile_app,WELCOME10,0.0
ORD0000003,CUST00426,2025-03-20 19:05:22,completed,DE,Cologne,web,,2.99
ORD0000004,CUST00010,2025-12-26 10:42:22,completed,DE,Berlin,mobile_app,VIP5,2.99
ORD0000005,CUST00026,2025-07-24 18:32:51,completed,DE,Leipzig,mobile_app,,5.99
ORD0000006,CUST00547,2026-06-18 07:40:04,completed,DE,Hannover,web,BLACKWEEK,2.99
ORD0000007,CUST00074,2026-03-16 11:01:29,completed,NL,Amsterdam,web,,0.0
ORD0000008,CUST00065,2025-11-01 08:44:54,completed,CH,Zurich,mobile_app,,0.0
ORD0000009,CUST00401,2025-05-24 16:40:09,completed,AT,Vienna,web,VIP5,4.99
ORD0000010,CUST00423,2026-05-22 11:10:11,completed,DE,Hamburg,web,,4.99
ORD0000011,CUST00595,2025-07-21 22:21:22,completed,DE,Cologne,mobile_app,,2.99
ORD0000012,CUST00447,2025-07-18 15:53:23,completed,DE,Leipzig,web,BLACKWEEK,4.99
ORD0000013,CUST00144,2025-11-18 13:16:46,cancelled,AT,Graz,mobile_app,WELCOME10,0.0
ORD0000014,CUST00153,2026-06-29 18:25:14,cancelled,NL,Amsterdam,web,,4.99
ORD0000015,CUST00170,2026-04-29 11:28:10,completed,DE,Cologne,web,WELCOME10,2.99
ORD0000016,CUST00212,2025-07-29 18:24:30,cancelled,DE,Leipzig,mobile_app,,0.0
ORD0000017,CUST00584,2026-03-16 12:24:41,completed,DE,Berlin,web,,0.0
ORD0000018,CUST00192,2026-02-01 12:23:38,completed,NL,Amsterdam,web,,0.0
ORD0000019,CUST00421,2025-12-24 07:15:02,completed,DE,Berlin,web,,2.99
ORD0000020,CUST00483,2026-06-09 22:10:14,completed,DE,Hannover,mobile_app,SUMMER15,2.99
ORD0000021,CUST00071,2026-02-20 14:24:24,completed,AT,Vienna,mobile_app,,0.0
ORD0000022,CUST00516,2025-02-22 10:05:30,completed,DE,Hannover,mobile_app,BLACKWEEK,0.0
ORD0000023,CUST00391,2026-04-11 18:37:51,completed,AT,Graz,web,,0.0
ORD0000024,CUST00385,2025-11-01 13:44:51,completed,AT,Graz,web,,4.99
ORD0000025,CUST00566,2025-10-08 22:11:23,completed,DE,Munich,web,,5.99
ORD0000026,CUST00458,2025-11-15 12:06:13,completed,DE,Düsseldorf,mobile_app,SUMMER15,4.99
ORD0000027,CUST00091,2025-11-14 09:16:14,completed,CH,Zurich,marketplace,WELCOME10,0.0
ORD0000028,CUST00180,2026-01-12 22:28:00,completed,DE,Frankfurt,mobile_app,,4.99
ORD0000029,CUST00410,2025-11-18 18:42:25,completed,AT,Graz,mobile_app,,2.99
ORD0000030,CUST00356,2025-12-25 15:14:38,returned,AT,Graz,mobile_app,BLACKWEEK,5.99
ORD0000031,CUST00120,2025-11-29 15:56:34,completed,DE,Düsseldorf,marketplace,,4.99
ORD0000032,CUST00265,2025-11-08 09:24:40,completed,DE,Düsseldorf,web,,2.99
ORD0000033,CUST00096,2026-04-23 19:43:47,completed,CH,Basel,web,,0.0
ORD0000034,CUST00195,2026-06-09 22:47:12,completed,DE,Bremen,web,BLACKWEEK,2.99
ORD0000035,CUST00505,2025-11-06 07:48:54,completed,DE,Stuttgart,web,SUMMER15,0.0
ORD0000036,CUST00524,2026-05-08 15:25:14,completed,AT,Vienna,mobile_app,,2.99
ORD0000037,CUST00472,2026-06-20 17:44:00,completed,DE,Hannover,web,,2.99
ORD0000038,CUST00352,2025-07-13 18:11:31,completed,CH,Zurich,web,WELCOME10,5.99
ORD0000039,CUST00201,2025-12-23 11:51:47,completed,DE,Hamburg,web,,0.0
ORD0000040,CUST00267,2025-04-12 18:23:35,completed,DE,Stuttgart,web,,4.99
ORD0000041,CUST00179,2026-01-02 16:22:20,completed,DE,Leipzig,web,WELCOME10,5.99
ORD0000042,CUST00346,2025-12-22 20:40:39,completed,DE,Cologne,web,,0.0
ORD0000043,CUST00456,2026-02-02 18:47:37,completed,DE,Stuttgart,web,,5.99
ORD0000044,CUST00216,2026-03-17 12:25:06,completed,AT,Graz,web,,5.99
ORD0000045,CUST00400,2025-12-30 16:14:15,completed,AT,Vienna,web,,5.99
ORD0000046,CUST00553,2025-12-31 12:37:38,completed,AT,Graz,mobile_app,,5.99
ORD0000047,CUST00423,2025-04-06 15:09:19,completed,DE,Hamburg,web,,2.99
ORD0000048,CUST00300,2025-08-17 14:50:00,completed,DE,Hamburg,mobile_app,,2.99
ORD0000049,CUST00082,2026-04-21 20:40:15,completed,DE,Berlin,mobile_app,,4.99
ORD0000050,CUST00156,2025-11-24 08:34:01,completed,DE,Düsseldorf,web,,0.0
ORD0000051,CUST00320,2025-11-24 22:23:29,completed,CH,Basel,mobile_app,,0.0
ORD0000052,CUST00454,2025-07-20 14:47:02,completed,DE,Munich,marketplace,,0.0
ORD0000053,CUST00306,2025-12-01 13:23:56,completed,DE,Cologne,web,VIP5,2.99
ORD0000054,CUST00010,2025-04-29 08:37:50,completed,DE,Berlin,web,,2.99
ORD0000055,CUST00062,2026-06-18 08:22:41,completed,DE,Hannover,web,,0.0
ORD0000056,CUST00557,2025-11-23 18:20:46,completed,AT,Graz,web,,2.99
ORD0000057,CUST00190,2026-03-31 07:39:54,completed,AT,Vienna,web,,2.99
ORD0000058,CUST00498,2026-05-10 13:06:02,completed,AT,Graz,web,,5.99
ORD0000059,CUST00082,2025-06-26 21:51:40,completed,DE,Berlin,mobile_app,SUMMER15,5.99
ORD0000060,CUST00222,2025-03-22 10:06:46,completed,CH,Basel,web,,5.99
ORD0000061,CUST00591,2025-12-25 18:43:29,completed,DE,Cologne,web,BLACKWEEK,5.99
ORD0000062,CUST00361,2025-12-13 17:35:20,completed,DE,Düsseldorf,web,WELCOME10,5.99
ORD0000063,CUST00459,2025-07-23 19:00:46,completed,AT,Vienna,web,,4.99
ORD0000064,CUST00597,2025-05-24 14:14:16,completed,AT,Graz,mobile_app,,0.0
ORD0000065,CUST00591,2025-06-04 10:38:41,completed,DE,Cologne,web,,5.99
ORD0000066,CUST00392,2026-06-01 08:19:33,completed,AT,Vienna,mobile_app,,2.99
ORD0000067,CUST00517,2025-11-01 09:14:27,completed,AT,Graz,web,,5.99
ORD0000068,CUST00493,2026-02-25 13:31:25,completed,DE,Cologne,marketplace,,2.99
ORD0000069,CUST00375,2025-04-24 18:12:20,completed,DE,Bremen,web,WELCOME10,0.0
ORD0000070,CUST00240,2025-12-23 13:43:23,completed,DE,Bremen,web,,0.0
ORD0000071,CUST00265,2025-06-23 22:39:46,returned,DE,Düsseldorf,marketplace,,0.0
ORD0000072,CUST00069,2025-11-11 19:42:17,completed,DE,Stuttgart,web,BLACKWEEK,4.99
ORD0000073,CUST00469,2025-04-05 07:02:15,cancelled,DE,Hannover,web,,4.99
ORD0000074,CUST00514,2025-08-19 15:51:03,completed,DE,Bremen,mobile_app,BLACKWEEK,5.99
ORD0000075,CUST00141,2025-09-09 09:46:24,completed,CH,Basel,mobile_app,,2.99
ORD0000076,CUST00142,2025-12-17 13:55:08,completed,DE,Düsseldorf,marketplace,,2.99
ORD0000077,CUST00327,2026-05-12 20:26:19,completed,DE,Stuttgart,web,,4.99
ORD0000078,CUST00237,2025-07-30 14:14:43,completed,CH,Basel,web,,0.0
ORD0000079,CUST00034,2025-05-11 20:48:00,cancelled,DE,Berlin,mobile_app,,5.99
ORD0000080,CUST00502,2026-06-24 17:55:29,cancelled,DE,Düsseldorf,web,,5.99
ORD0000081,CUST00044,2025-11-30 14:33:34,completed,DE,Frankfurt,web,,0.0
ORD0000082,CUST00056,2025-11-09 11:29:53,completed,NL,Amsterdam,web,WELCOME10,0.0
ORD0000083,CUST00257,2025-06-22 17:44:41,cancelled,NL,Amsterdam,web,WELCOME10,2.99
ORD0000084,CUST00524,2026-03-01 12:24:35,completed,AT,Vienna,mobile_app,BLACKWEEK,2.99
ORD0000085,CUST00457,2025-08-23 16:40:11,completed,AT,Vienna,web,VIP5,2.99
ORD0000086,CUST00082,2025-11-16 07:15:56,completed,DE,Berlin,web,,2.99
ORD0000087,CUST00183,2025-11-27 12:43:18,completed,AT,Vienna,mobile_app,VIP5,2.99
ORD0000088,CUST00070,2025-09-23 20:53:35,completed,DE,Stuttgart,mobile_app,,5.99
ORD0000089,CUST00542,2025-12-07 09:30:46,completed,DE,Munich,mobile_app,,4.99
ORD0000090,CUST00533,2025-05-06 22:31:51,completed,DE,Cologne,marketplace,WELCOME10,2.99
ORD0000091,CUST00425,2026-03-14 20:02:21,completed,CH,Zurich,web,,2.99
ORD0000092,CUST00117,2025-12-21 17:21:25,completed,DE,Stuttgart,web,SUMMER15,0.0
ORD0000093,CUST00424,2025-12-15 08:53:33,completed,DE,Hannover,web,,4.99
ORD0000094,CUST00385,2026-04-27 12:36:38,completed,AT,Graz,mobile_app,BLACKWEEK,0.0
ORD0000095,CUST00222,2025-11-04 16:11:07,completed,CH,Basel,marketplace,WELCOME10,0.0
ORD0000096,CUST00496,2025-05-22 16:49:20,completed,AT,Graz,marketplace,SUMMER15,0.0
ORD0000097,CUST00090,2025-01-11 17:29:56,completed,NL,Amsterdam,mobile_app,,4.99
ORD0000098,CUST00162,2026-02-13 15:07:00,returned,DE,Düsseldorf,web,,0.0
ORD0000099,CUST00347,2025-11-20 21:03:08,completed,DE,Bremen,web,,0.0
ORD0000100,CUST00457,2026-01-26 18:19:21,completed,AT,Vienna,mobile_app,VIP5,0.0
ORD0000101,CUST00477,2026-02-19 22:14:14,completed,DE,Berlin,web,BLACKWEEK,4.99
ORD0000102,CUST00473,2025-11-16 12:18:49,completed,DE,Cologne,web,,2.99
ORD0000103,CUST00250,2026-01-08 12:30:24,completed,DE,Leipzig,mobile_app,SUMMER15,2.99
ORD0000104,CUST00475,2025-12-09 17:35:06,completed,DE,Bremen,web,,2.99
ORD0000105,CUST00143,2025-03-15 07:48:09,completed,DE,Hannover,web,,5.99
ORD0000106,CUST00446,2025-08-20 18:05:37,completed,DE,Hamburg,mobile_app,SUMMER15,5.99
ORD0000107,CUST00368,2026-02-28 10:55:18,completed,DE,Munich,mobile_app,,2.99
ORD0000108,CUST00369,2025-05-12 20:09:18,returned,AT,Graz,web,,2.99
ORD0000109,CUST00426,2025-11-09 21:57:50,completed,DE,Cologne,web,,5.99
ORD0000110,CUST00592,2025-06-12 22:54:46,completed,DE,Munich,web,,4.99
ORD0000111,CUST00082,2025-04-24 11:46:46,completed,DE,Berlin,web,,4.99
ORD0000112,CUST00525,2026-04-01 22:36:46,completed,NL,Amsterdam,mobile_app,VIP5,4.99
ORD0000113,CUST00267,2025-08-20 08:40:30,completed,DE,Stuttgart,web,,0.0
ORD0000114,CUST00179,2025-11-08 11:42:28,completed,DE,Leipzig,mobile_app,,2.99
ORD0000115,CUST00423,2025-12-02 19:15:42,completed,DE,Hamburg,mobile_app,,2.99
ORD0000116,CUST00488,2025-03-07 16:30:47,returned,DE,Munich,mobile_app,,2.99
ORD0000117,CUST00043,2026-02-17 10:58:34,completed,DE,Munich,mobile_app,,5.99
ORD0000118,CUST00248,2026-02-06 13:33:21,completed,DE,Frankfurt,web,,2.99
ORD0000119,CUST00225,2025-04-17 16:16:12,completed,NL,Amsterdam,mobile_app,,0.0
ORD0000120,CUST00260,2026-05-19 16:29:42,cancelled,DE,Hamburg,web,BLACKWEEK,5.99
ORD0000121,CUST00284,2025-07-25 08:24:24,completed,AT,Graz,mobile_app,,0.0
ORD0000122,CUST00112,2025-12-02 11:34:49,completed,DE,Berlin,mobile_app,BLACKWEEK,0.0
ORD0000123,CUST00153,2025-12-02 07:59:02,completed,NL,Amsterdam,web,,4.99
ORD0000124,CUST00072,2025-11-23 14:00:24,returned,DE,Munich,web,,5.99
ORD0000125,CUST00196,2025-02-23 16:44:24,cancelled,DE,Leipzig,mobile_app,,4.99
ORD0000126,CUST00501,2026-03-07 19:04:50,completed,DE,Bremen,marketplace,,4.99
