payment_id,order_id,payment_method,payment_status,amount,paid_at
PAY00000001,ORD0000001,paypal,paid,67.12,2025-12-14 13:05:47
PAY00000002,ORD0000002,card,paid,997.47,2025-09-03 10:40:59
PAY00000003,ORD0000003,klarna,paid,356.02,2025-03-20 19:16:22
PAY00000004,ORD0000004,paypal,paid,370.05,2025-12-26 13:10:22
PAY00000005,ORD0000005,paypal,paid,194.34,2025-07-24 19:55:51
PAY00000006,ORD0000006,card,paid,412.15,2026-06-18 08:40:04
PAY00000007,ORD0000007,bank_transfer,paid,773.44,2026-03-16 12:08:29
PAY00000008,ORD0000008,card,paid,762.76,2025-11-01 11:44:54
PAY00000009,ORD0000009,bank_transfer,paid,535.57,2025-05-24 18:02:09
PAY00000010,ORD0000010,paypal,paid,544.59,2026-05-22 13:28:11
PAY00000011,ORD0000011,card,paid,895.57,2025-07-22 01:20:22
PAY00000012,ORD0000012,card,paid,392.8,2025-07-18 17:56:23
PAY00000013,ORD0000013,card,failed,0.0,2025-11-18 13:48:46
PAY00000014,ORD0000014,paypal,failed,0.0,2026-06-29 19:08:14
PAY00000015,ORD0000015,klarna,paid,614.65,2026-04-29 11:48:10
PAY00000016,ORD0000016,bank_transfer,failed,0.0,2025-07-29 20:48:30
PAY00000017,ORD0000017,bank_transfer,paid,1059.3,2026-03-16 15:22:41
PAY00000018,ORD0000018,card,refunded,100.92,2026-02-01 13:43:38
PAY00000019,ORD0000019,bank_transfer,paid,874.68,2025-12-24 10:04:02
PAY00000020,ORD0000020,paypal,paid,125.83,2026-06-09 23:35:14
PAY00000021,ORD0000021,card,paid,371.68,2026-02-20 14:37:24
PAY00000022,ORD0000022,klarna,paid,368.77,2025-02-22 12:42:30
PAY00000023,ORD0000023,paypal,paid,342.83,2026-04-11 20:08:51
PAY00000024,ORD0000024,paypal,paid,239.17,2025-11-01 14:17:51
PAY00000025,ORD0000025,paypal,paid,235.28,2025-10-08 22:20:23
PAY00000026,ORD0000026,card,paid,238.38,2025-11-15 12:07:13
PAY00000027,ORD0000027,card,paid,312.59,2025-11-14 10:51:14
PAY00000028,ORD0000028,klarna,refunded,290.03,2026-01-13 00:50:00
PAY00000029,ORD0000029,card,paid,34.95,2025-11-18 21:34:25
PAY00000030,ORD0000030,card,refunded,324.89,2025-12-25 16:21:38
PAY00000031,ORD0000031,paypal,paid,139.4,2025-11-29 18:00:34
PAY00000032,ORD0000032,card,paid,278.31,2025-11-08 10:10:40
PAY00000033,ORD0000033,bank_transfer,paid,546.74,2026-04-23 21:04:47
PAY00000034,ORD0000034,bank_transfer,paid,47.79,2026-06-09 22:51:12
PAY00000035,ORD0000035,card,paid,844.36,2025-11-06 10:01:54
PAY00000036,ORD0000036,klarna,paid,479.68,2026-05-08 16:42:14
PAY00000037,ORD0000037,card,paid,205.73,2026-06-20 19:02:00
PAY00000038,ORD0000038,card,paid,262.72,2025-07-13 19:44:31
PAY00000039,ORD0000039,card,paid,973.83,2025-12-23 14:28:47
PAY00000040,ORD0000040,klarna,paid,458.26,2025-04-12 19:54:35
PAY00000041,ORD0000041,card,paid,190.65,2026-01-02 17:26:20
PAY00000042,ORD0000042,card,paid,312.59,2025-12-22 22:58:39
PAY00000043,ORD0000043,paypal,refunded,53.81,2026-02-02 20:53:37
PAY00000044,ORD0000044,card,paid,553.52,2026-03-17 15:09:06
PAY00000045,ORD0000045,paypal,paid,978.21,2025-12-30 19:01:15
PAY00000046,ORD0000046,klarna,paid,155.62,2025-12-31 14:54:38
PAY00000047,ORD0000047,klarna,paid,198.3,2025-04-06 17:27:19
PAY00000048,ORD0000048,klarna,paid,64.12,2025-08-17 16:16:00
PAY00000049,ORD0000049,card,paid,687.05,2026-04-21 23:15:15
PAY00000050,ORD0000050,card,paid,43.67,2025-11-24 11:14:01
PAY00000051,ORD0000051,card,paid,312.16,2025-11-25 00:30:29
PAY00000052,ORD0000052,card,paid,784.02,2025-07-20 16:00:02
PAY00000053,ORD0000053,card,paid,46.66,2025-12-01 13:43:56
PAY00000054,ORD0000054,card,paid,36.63,2025-04-29 09:27:50
PAY00000055,ORD0000055,paypal,paid,892.76,2026-06-18 09:32:41
PAY00000056,ORD0000056,klarna,paid,164.7,2025-11-23 19:18:46
PAY00000057,ORD0000057,card,paid,1305.19,2026-03-31 08:06:54
PAY00000058,ORD0000058,paypal,paid,295.22,2026-05-10 14:59:02
PAY00000059,ORD0000059,klarna,paid,190.65,2025-06-26 23:21:40
PAY00000060,ORD0000060,paypal,paid,244.33,2025-03-22 11:49:46
PAY00000061,ORD0000061,bank_transfer,paid,147.64,2025-12-25 21:06:29
PAY00000062,ORD0000062,bank_transfer,paid,538.01,2025-12-13 17:49:20
PAY00000063,ORD0000063,card,paid,1268.57,2025-07-23 21:17:46
PAY00000064,ORD0000064,card,paid,197.04,2025-05-24 16:25:16
PAY00000065,ORD0000065,card,paid,720.52,2025-06-04 12:04:41
PAY00000066,ORD0000066,card,paid,154.08,2026-06-01 10:38:33
PAY00000067,ORD0000067,card,paid,349.06,2025-11-01 10:34:27
PAY00000068,ORD0000068,paypal,paid,232.8,2026-02-25 16:15:25
PAY00000069,ORD0000069,card,paid,446.22,2025-04-24 20:29:20
PAY00000070,ORD0000070,paypal,paid,1232.03,2025-12-23 15:17:23
