order_item_id,order_id,product_id,quantity,unit_price,discount_amount
ITEM00000001,ORD0000001,PROD0021,1,61.13,0.0
ITEM00000002,ORD0000002,PROD0039,1,280.24,0.0
ITEM00000003,ORD0000002,PROD0063,2,246.23,0.0
ITEM00000004,ORD0000002,PROD0102,1,224.77,0.0
ITEM00000005,ORD0000003,PROD0097,1,353.03,0.0
ITEM00000006,ORD0000004,PROD0118,2,183.53,0.0
ITEM00000007,ORD0000005,PROD0066,1,188.35,0.0
ITEM00000008,ORD0000006,PROD0069,2,227.31,45.46
ITEM00000009,ORD0000007,PROD0072,2,209.01,62.7
ITEM00000010,ORD0000007,PROD0010,1,207.41,0.0
ITEM00000011,ORD0000007,PROD0074,1,210.71,0.0
ITEM00000012,ORD0000008,PROD0037,2,198.87,0.0
ITEM00000013,ORD0000008,PROD0098,2,182.51,0.0
ITEM00000014,ORD0000009,PROD0019,1,203.36,0.0
ITEM00000015,ORD0000009,PROD0016,1,317.54,47.63
ITEM00000016,ORD0000009,PROD0006,1,60.33,3.02
ITEM00000017,ORD0000010,PROD0110,1,90.59,18.12
ITEM00000018,ORD0000010,PROD0007,1,123.36,0.0
ITEM00000019,ORD0000010,PROD0109,1,343.77,0.0
ITEM00000020,ORD0000011,PROD0041,1,291.08,0.0
ITEM00000021,ORD0000011,PROD0063,1,246.23,0.0
ITEM00000022,ORD0000011,PROD0058,1,118.75,0.0
ITEM00000023,ORD0000011,PROD0043,1,236.52,0.0
ITEM00000024,ORD0000012,PROD0040,1,387.81,0.0
ITEM00000025,ORD0000013,PROD0081,1,119.17,0.0
ITEM00000026,ORD0000013,PROD0004,1,234.81,35.22
ITEM00000027,ORD0000013,PROD0105,1,350.67,0.0
ITEM00000028,ORD0000014,PROD0047,1,168.82,0.0
ITEM00000029,ORD0000015,PROD0029,2,305.83,0.0
ITEM00000030,ORD0000016,PROD0067,1,145.83,0.0
ITEM00000031,ORD0000017,PROD0067,2,145.83,0.0
ITEM00000032,ORD0000017,PROD0052,1,141.65,0.0
ITEM00000033,ORD0000017,PROD0046,1,275.32,0.0
ITEM00000034,ORD0000017,PROD0105,1,350.67,0.0
ITEM00000035,ORD0000018,PROD0015,1,100.92,0.0
ITEM00000036,ORD0000019,PROD0019,2,203.36,0.0
ITEM00000037,ORD0000019,PROD0008,1,32.22,6.44
ITEM00000038,ORD0000019,PROD0022,1,326.28,32.63
ITEM00000039,ORD0000019,PROD0034,1,161.71,16.17
ITEM00000040,ORD0000020,PROD0085,1,122.84,0.0
ITEM00000041,ORD0000021,PROD0054,1,222.94,0.0
ITEM00000042,ORD0000021,PROD0106,1,148.74,0.0
ITEM00000043,ORD0000022,PROD0067,1,145.83,0.0
ITEM00000044,ORD0000022,PROD0054,1,222.94,0.0
ITEM00000045,ORD0000023,PROD0117,1,140.52,14.05
ITEM00000046,ORD0000023,PROD0110,1,90.59,0.0
ITEM00000047,ORD0000023,PROD0011,1,132.39,6.62
ITEM00000048,ORD0000024,PROD0034,1,161.71,0.0
ITEM00000049,ORD0000024,PROD0110,1,90.59,18.12
ITEM00000050,ORD0000025,PROD0091,1,229.29,0.0
ITEM00000051,ORD0000026,PROD0007,1,123.36,0.0
ITEM00000052,ORD0000026,PROD0021,2,61.13,12.23
ITEM00000053,ORD0000027,PROD0084,1,312.59,0.0
ITEM00000054,ORD0000028,PROD0090,1,171.39,0.0
ITEM00000055,ORD0000028,PROD0030,1,113.65,0.0
ITEM00000056,ORD0000029,PROD0012,1,33.64,1.68
ITEM00000057,ORD0000030,PROD0053,1,318.9,0.0
ITEM00000058,ORD0000031,PROD0099,1,140.01,28.0
ITEM00000059,ORD0000031,PROD0032,1,22.4,0.0
ITEM00000060,ORD0000032,PROD0046,1,275.32,0.0
ITEM00000061,ORD0000033,PROD0028,2,273.37,0.0
ITEM00000062,ORD0000034,PROD0032,2,22.4,0.0
ITEM00000063,ORD0000035,PROD0115,3,331.12,149.0
ITEM00000064,ORD0000036,PROD0070,1,194.79,0.0
ITEM00000065,ORD0000036,PROD0005,1,281.9,0.0
