session_id,customer_id,started_at,source_channel,device_type,landing_page,pageviews,duration_seconds
SESS00000001,CUST00250,2026-02-27 00:02:32,paid_social,mobile,/category,2,629
SESS00000002,CUST00065,2026-06-29 18:25:11,email,desktop,/category,3,3260
SESS00000003,CUST00360,2026-03-14 06:43:33,affiliate,mobile,/category,2,3203
SESS00000004,CUST00395,2025-09-05 06:18:11,organic,mobile,/category,2,2572
SESS00000005,CUST00435,2026-03-15 12:16:28,email,desktop,/product,2,3001
SESS00000006,CUST00472,2025-12-31 04:18:01,organic,tablet,/category,3,3376
SESS00000007,CUST00341,2026-01-21 16:38:57,organic,mobile,/search,3,2382
SESS00000008,CUST00335,2026-01-07 11:48:37,organic,desktop,/search,5,672
SESS00000009,CUST00253,2025-07-28 12:41:59,paid_social,mobile,/home,3,3356
SESS00000010,CUST00139,2025-10-09 10:59:20,paid_social,tablet,/sale,3,3324
SESS00000011,CUST00154,2025-07-25 22:54:25,affiliate,desktop,/home,6,618
SESS00000012,CUST00035,2026-06-30 07:23:23,direct,mobile,/product,4,2535
SESS00000013,CUST00127,2025-06-25 07:46:51,paid_social,mobile,/sale,8,3408
SESS00000014,CUST00397,2025-09-25 01:18:44,paid_search,desktop,/category,4,1518
SESS00000015,CUST00559,2025-06-05 23:51:59,paid_search,mobile,/blog,2,935
SESS00000016,CUST00269,2026-06-25 23:07:23,paid_search,desktop,/blog,6,2842
SESS00000017,CUST00002,2026-05-24 08:49:05,email,desktop,/home,1,3538
SESS00000018,CUST00366,2025-11-02 07:55:54,email,desktop,/sale,13,2862
SESS00000019,CUST00378,2026-03-07 04:27:50,affiliate,mobile,/sale,1,2809
SESS00000020,CUST00407,2025-06-24 17:21:36,affiliate,desktop,/product,2,3496
SESS00000021,CUST00046,2026-02-07 00:35:20,paid_social,mobile,/blog,7,1818
SESS00000022,CUST00010,2025-02-20 18:32:47,paid_search,desktop,/blog,4,2104
SESS00000023,CUST00066,2026-02-09 13:18:58,paid_search,mobile,/sale,2,1104
SESS00000024,CUST00332,2026-02-22 08:56:45,paid_social,mobile,/blog,6,1182
SESS00000025,CUST00480,2026-05-13 08:36:57,affiliate,desktop,/blog,7,2310
SESS00000026,CUST00059,2025-12-27 14:42:32,paid_search,desktop,/sale,1,3264
SESS00000027,CUST00598,2025-10-01 09:41:22,direct,desktop,/blog,4,3295
SESS00000028,CUST00125,2025-12-20 13:05:22,direct,desktop,/category,2,2722
SESS00000029,CUST00396,2026-02-18 03:42:11,paid_social,mobile,/home,6,2267
SESS00000030,CUST00450,2025-02-18 02:01:51,direct,tablet,/blog,9,3264
SESS00000031,CUST00310,2025-05-19 18:18:24,organic,desktop,/category,6,2803
SESS00000032,CUST00393,2025-12-26 19:23:11,paid_search,desktop,/product,1,2779
SESS00000033,CUST00007,2025-08-14 07:11:31,paid_search,mobile,/product,3,54
SESS00000034,CUST00411,2025-11-06 05:14:02,paid_search,mobile,/product,3,2229
SESS00000035,CUST00584,2026-06-15 01:30:05,organic,mobile,/product,1,783
SESS00000036,CUST00326,2026-04-19 06:54:23,organic,mobile,/blog,3,3115
SESS00000037,CUST00084,2025-08-02 02:47:29,paid_search,desktop,/sale,3,229
SESS00000038,CUST00039,2025-10-15 12:56:45,paid_social,desktop,/home,1,24
SESS00000039,CUST00449,2025-03-31 04:20:48,email,mobile,/home,1,1607
SESS00000040,CUST00212,2026-02-24 06:27:00,paid_social,mobile,/home,3,1537
SESS00000041,CUST00424,2026-03-27 01:15:05,direct,desktop,/home,1,171
SESS00000042,CUST00176,2025-03-27 14:27:49,paid_social,mobile,/sale,1,446
SESS00000043,CUST00597,2025-05-27 20:35:41,direct,mobile,/search,15,3043
SESS00000044,CUST00567,2026-01-02 10:23:34,direct,mobile,/blog,1,2901
SESS00000045,CUST00549,2025-09-30 10:45:21,direct,mobile,/product,9,145
SESS00000046,CUST00005,2025-08-19 14:33:28,email,desktop,/home,4,919
SESS00000047,CUST00206,2026-03-26 04:37:17,email,mobile,/home,14,3213
SESS00000048,CUST00501,2025-04-06 03:54:14,affiliate,mobile,/home,1,2336
SESS00000049,CUST00371,2026-05-31 23:51:22,paid_social,mobile,/blog,1,2375
SESS00000050,CUST00168,2025-05-01 02:27:47,organic,desktop,/search,5,487
SESS00000051,CUST00211,2025-08-06 18:16:42,affiliate,desktop,/sale,4,476
SESS00000052,CUST00005,2025-01-03 17:41:21,affiliate,mobile,/home,3,455
SESS00000053,CUST00466,2025-12-02 11:02:17,email,desktop,/home,1,363
SESS00000054,CUST00533,2026-05-25 05:25:38,organic,desktop,/sale,1,701
SESS00000055,CUST00560,2026-02-24 21:08:37,direct,mobile,/search,3,869
SESS00000056,CUST00526,2026-05-07 17:03:35,paid_search,mobile,/blog,3,2699
SESS00000057,CUST00219,2025-05-11 01:46:03,affiliate,desktop,/blog,1,1458
SESS00000058,CUST00302,2025-06-13 23:10:40,organic,mobile,/sale,7,1534
SESS00000059,CUST00495,2025-09-17 04:27:26,direct,mobile,/search,3,285
SESS00000060,CUST00049,2026-05-26 17:46:31,affiliate,mobile,/home,14,2748
SESS00000061,CUST00075,2026-01-27 03:15:23,paid_social,mobile,/home,5,2843
SESS00000062,CUST00488,2026-06-25 06:11:18,paid_social,mobile,/blog,5,38
SESS00000063,CUST00112,2026-05-11 16:15:17,paid_search,mobile,/home,2,2040
SESS00000064,CUST00095,2025-06-01 13:56:31,paid_search,desktop,/blog,3,685
SESS00000065,CUST00057,2026-03-08 12:01:30,organic,mobile,/blog,1,557
SESS00000066,CUST00038,2026-04-03 19:46:50,paid_social,mobile,/search,1,1394
SESS00000067,CUST00109,2026-06-09 20:49:19,email,mobile,/home,17,2547
SESS00000068,CUST00563,2025-04-05 02:03:51,paid_search,mobile,/search,1,2484
SESS00000069,CUST00408,2026-03-26 17:07:35,organic,mobile,/search,3,687
SESS00000070,CUST00016,2025-03-30 03:36:13,email,mobile,/home,6,2455
SESS00000071,CUST00248,2025-01-15 15:19:07,paid_search,desktop,/search,1,760
SESS00000072,CUST00458,2026-05-24 07:14:59,organic,tablet,/blog,1,22
SESS00000073,CUST00565,2025-07-07 20:41:08,direct,tablet,/search,1,2522
SESS00000074,CUST00225,2025-02-11 12:12:57,direct,mobile,/search,5,106
SESS00000075,CUST00514,2025-02-25 01:47:57,paid_search,mobile,/sale,5,2879
SESS00000076,CUST00323,2025-10-16 17:21:27,paid_social,desktop,/home,1,2432
SESS00000077,CUST00516,2026-03-26 17:26:42,paid_social,mobile,/category,5,452
SESS00000078,CUST00579,2025-05-03 06:05:37,organic,desktop,/search,5,3512
SESS00000079,CUST00042,2025-08-04 19:36:57,organic,tablet,/search,5,1073
SESS00000080,CUST00159,2025-04-21 03:51:27,paid_search,desktop,/blog,1,1624
SESS00000081,CUST00593,2026-04-07 00:49:44,direct,mobile,/home,5,1290
SESS00000082,CUST00429,2025-12-13 10:12:41,email,desktop,/product,1,423
SESS00000083,CUST00489,2026-05-13 23:55:00,direct,mobile,/search,1,3369
SESS00000084,CUST00127,2025-10-02 18:54:44,affiliate,mobile,/sale,1,2342
SESS00000085,CUST00081,2026-05-21 05:07:10,organic,mobile,/blog,2,1809
SESS00000086,CUST00280,2025-05-23 16:31:41,affiliate,desktop,/sale,9,2807
SESS00000087,CUST00152,2025-07-09 20:02:41,paid_search,mobile,/product,12,386
SESS00000088,CUST00055,2025-02-06 06:48:31,email,desktop,/search,5,1744
SESS00000089,CUST00447,2025-04-17 21:52:51,paid_search,mobile,/home,1,3340
SESS00000090,CUST00005,2026-05-31 08:36:10,paid_social,mobile,/sale,10,2825
SESS00000091,CUST00158,2026-04-21 13:36:07,email,desktop,/product,6,924
SESS00000092,CUST00215,2025-08-03 05:13:00,paid_search,desktop,/sale,3,1625
SESS00000093,CUST00205,2025-08-07 15:55:04,organic,tablet,/blog,4,2625
SESS00000094,CUST00404,2025-11-10 03:52:57,direct,mobile,/sale,2,957
SESS00000095,CUST00536,2025-06-03 22:43:33,paid_social,mobile,/search,6,813
SESS00000096,CUST00192,2025-12-11 19:08:41,paid_search,mobile,/search,8,2935
SESS00000097,CUST00378,2025-09-16 22:22:08,email,desktop,/sale,1,1050
